"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL234589";"";"None";"472.48";"1";"6.71";"10q";"O=C(O)Cc1csc2cc(OCc3ccc(COc4ccc(C(F)(F)F)cc4)cc3)ccc12";"IC50";"'='";"229.0";"nM";"6.64";"";"";"UO_0000065";"14.05";"0.27";"-0.07";"11.91";"0";"CHEMBL896467";"Displacement of [3H]2-(4-(2-(3-(2,4-difluorophenyl)-1-heptylureido)ethyl)phenoxy)-2-methylbutanoic acid from human PPARalpha after 30 mins by SPA";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL239";"Peroxisome proliferator-activated receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149526";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"None";"";"";""
"CHEMBL197823";"";"None";"498.99";"1";"5.87";"38";"CC(C)(C)c1ccc(-n2c(C(=O)O)c(Oc3cccc(S(C)(=O)=O)c3)c3ccc(Cl)nc32)cc1";"IC50";"'>'";"50000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL880425";"Inhibitory concentration against human peroxisome proliferator activated receptor alpha in SPA assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL239";"Peroxisome proliferator-activated receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143644";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"None";"";"";""
"CHEMBL550762";"NITROLEIC ACID";"None";"327.47";"1";"5.71";"1, E-9-NO2-18:1";"CCCCCCCC/C=C(\CCCCCCCC(=O)O)[N+](=O)[O-]";"IC50";"'>'";"15000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1062957";"Displacement of [3H2]nTZD3 from GST-tagged human recombinant PPARalpha by scintillation proximity assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL239";"Peroxisome proliferator-activated receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1151944";"1";"Scientific Literature";"J Med Chem";"2009";"None";"";"";""
"CHEMBL4174856";"";"None";"552.98";"2";"5.84";"50";"CN1CC[C@@H](N2C(=O)S/C(=C\c3ccc4c(cnn4Cc4ccc(Cl)cc4C(F)(F)F)c3)C2=O)[C@H](F)C1";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4131414";"Antagonist activity at recombinant GST-tagged human PPARalpha LBD assessed as inhibition of GW7647-induced fluorescein-labeled coactivator peptide recruitment preincubated with enzyme followed by coactivator addition by LanthaScreen TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL239";"Peroxisome proliferator-activated receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4130359";"1";"Scientific Literature";"Eur J Med Chem";"2017";"None";"";"";""
"CHEMBL1668898";"";"None";"510.57";"1";"5.21";"21, AM432";"CCOc1ccc(-c2ccc(-c3cc(CC(=O)[O-])ccc3OC)c(CN(CC)C(=O)C3CC3)c2)cn1.[Na+]";"IC50";"'>'";"250000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1670985";"Inhibition of PPAR alpha";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL239";"Peroxisome proliferator-activated receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1667769";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";"";""
"CHEMBL190938";"";"None";"436.47";"1";"6.41";"43";"CCCc1cc(C(=O)CC)cc(CCC)c1O[C@H](C(=O)O)c1ccc(C(F)(F)F)cc1";"IC50";"'='";"89.0";"nM";"7.05";"";"";"UO_0000065";"16.15";"0.31";"0.64";"11.09";"0";"CHEMBL830983";"In vitro binding affinity for human PPAR alpha";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL239";"Peroxisome proliferator-activated receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140307";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";"";""
"CHEMBL189950";"";"None";"312.37";"0";"4.10";"34";"CCC(=O)c1cc(C)c(OC(C(=O)O)c2ccccc2)c(C)c1";"IC50";"'='";"3000.0";"nM";"5.52";"";"";"UO_0000065";"17.68";"0.33";"1.42";"8.68";"0";"CHEMBL830983";"In vitro binding affinity for human PPAR alpha";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL239";"Peroxisome proliferator-activated receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140307";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";"";""
"CHEMBL366220";"";"None";"353.20";"0";"4.79";"35";"CCC(=O)c1cc(Cl)c(OC(C(=O)O)c2ccccc2)c(Cl)c1";"IC50";"'='";"1600.0";"nM";"5.80";"";"";"UO_0000065";"16.41";"0.34";"1.01";"9.11";"0";"CHEMBL830983";"In vitro binding affinity for human PPAR alpha";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL239";"Peroxisome proliferator-activated receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140307";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";"";""
"CHEMBL189066";"";"None";"382.50";"1";"5.87";"36";"CCCc1cc(C(=O)CC)cc(C)c1OC(C(=O)O)c1ccc(C(C)C)cc1";"IC50";"'='";"160.0";"nM";"6.80";"";"";"UO_0000065";"17.77";"0.33";"0.93";"10.69";"0";"CHEMBL830983";"In vitro binding affinity for human PPAR alpha";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL239";"Peroxisome proliferator-activated receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140307";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";"";""
"CHEMBL131450";"";"None";"477.00";"1";"5.62";"9";"COc1c(C=O)c(C)c(Cl)c(OCC(=O)O)c1C/C=C(C)/C=C/[C@@]1(C)[C@H](C)CCC(=O)[C@@H]1C";"IC50";"";"";"nM";"";"";"Not Determined";"UO_0000065";"";"";"";"";"0";"CHEMBL765407";"Minimum effective concentration required to inhibit Peroxisome proliferator activated receptor alpha (PPAR alpha); Not detected";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL239";"Peroxisome proliferator-activated receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145088";"1";"Scientific Literature";"J Med Chem";"2003";"None";"";"";""
